classification_methode,path,validation_methode,F_mesure,precision,rappel
Decision Tree,../../dataset/HAS/taken/HAS_.csv,Validation_70/30,0.9600000000000001,0.9230769230769231,1.0
Decision Tree,../../dataset/HAS/taken/HAS_.csv,cross Validation,0.9882352941176471,0.9777777777777779,1.0
Decision Tree,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_RandomUnderSampler.csv,cross Validation,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_AllKNN.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_AllKNN.csv,cross Validation,0.9777777777777779,0.96,1.0
Decision Tree,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_InstanceHardnessThreshold.csv,cross Validation,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_NearMiss.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_NearMiss.csv,cross Validation,0.9894736842105264,0.9800000000000001,1.0
Decision Tree,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,Validation_70/30,0.9600000000000001,0.9230769230769231,1.0
Decision Tree,../../dataset/HAS/taken/HAS_OneSidedSelection.csv,cross Validation,0.9714285714285713,0.95,1.0
Decision Tree,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_RandomUnderSampler_default.csv,cross Validation,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_TomekLinks.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_TomekLinks.csv,cross Validation,0.9866666666666667,0.975,1.0
Decision Tree,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/HAS/taken/HAS_CondensedNearestNeighbour.csv,cross Validation,1.0,1.0,1.0
Random Forest,../../dataset/HAS/taken/HAS_.csv,Validation_70/30,0.962962962962963,1.0,0.9285714285714286
