is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name
true,false,false,false,false,false,false,calculator.CalculatorEditable$Factory
true,false,false,false,false,false,false,calculator.HistoryAdapter$TagData
true,false,false,false,true,false,false,calculator.TouchHandler$TouchHandlerInterface
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$com.angrydoughnuts.android.alarmclock.TimePicker$OnTimePickListener1
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.widget.ResourceCursorAdapter2
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.widget.AdapterView$OnItemClickListener3
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.widget.AdapterView$OnItemLongClickListener4
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$java.lang.Runnable5
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.view.View$OnClickListener6
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.view.View$OnClickListener7
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$android.content.DialogInterface$OnClickListenerDeleteAllConfirmation
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockActivity$DeleteAllConfirmation
true,false,false,false,false,false,false,com.angrydoughnuts.android.alarmclock.AlarmClockProvider$AlarmEntry
true,false,false,false,false,false,false,com.angrydoughnuts.android.alarmclock.AlarmClockProvider$SettingsEntry
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmClockProvider$DbAlarmClockHelper
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationActivity$com.angrydoughnuts.android.alarmclock.Slider$Listener4
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationActivity$TimeoutMessage
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationService$android.os.HandlerActiveAlarms
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationService$java.lang.RunnableActiveAlarms
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationService$ActiveAlarms
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmNotificationService$AlarmTriggerReceiver
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.content.DialogInterface$OnClickListener2
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.content.DialogInterface$OnClickListener1
true,false,false,false,false,false,false,com.angrydoughnuts.android.alarmclock.AlarmOptions$SettingsObserver
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.content.DialogInterface$OnClickListenerRepeatEditor
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$RepeatEditor
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$DeleteConfirmation
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$com.angrydoughnuts.android.alarmclock.AlarmOptions$DeleteConfirmation$ListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$com.angrydoughnuts.android.alarmclock.TimePicker$OnTimePickListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.view.View$OnClickListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$com.angrydoughnuts.android.alarmclock.AlarmOptions$RepeatEditor$OnPickListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.view.View$OnClickListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.text.TextWatcherOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$com.angrydoughnuts.android.alarmclock.MediaPicker$ListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.widget.CompoundButton$OnCheckedChangeListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.widget.SeekBar$OnSeekBarChangeListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$com.angrydoughnuts.android.alarmclock.RangeBar$ListenerOptionsView
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$android.widget.SeekBar$OnSeekBarChangeListenerOptionsView
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.AlarmOptions$OptionsView
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.DbUtil$Alarm
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.DbUtil$Settings
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.TabHost$TabContentFactory3
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.TabHost$OnTabChangeListener4
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.AdapterView$OnItemClickListener6
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.AdapterView$OnItemClickListener7
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.AdapterView$OnItemClickListener8
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.view.View$OnKeyListener9
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$android.widget.ResourceCursorAdapter10
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.MediaPicker$AlbumsQuery
true,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.SystemMessageReceiver$Alarm
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnClickListener2
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.text.TextWatcher3
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.widget.TextView$OnEditorActionListener4
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnTouchListener5
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$java.lang.Runnable7
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnLongClickListener7
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$java.lang.Runnable9
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnLongClickListener9
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$java.lang.Runnable11
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnLongClickListener11
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$java.lang.Runnable13
false,false,false,false,false,false,true,com.angrydoughnuts.android.alarmclock.TimePicker$android.view.View$OnLongClickListener13
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.BrightnessProfiles$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.BrightnessProfiles$android.view.View$OnClickListener2
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.BrightnessProfiles$android.widget.CheckBox$OnCheckedChangeListener3
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.BrightnessProfiles$android.widget.AdapterView.OnItemClickListener5
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.CalibrateActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.CalibrateActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.EditActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.angrydoughnuts.android.brightprof.EditActivity$android.view.View$OnClickListener2
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.AlarmOptions$RepeatEditor$OnPickListener
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.AlarmOptions$DeleteConfirmation$Listener
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.MediaPicker$Listener
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.RangeBar$Listener
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.Slider$Listener
true,false,false,false,true,false,false,com.angrydoughnuts.android.alarmclock.TimePicker$OnTimePickListener
true,false,false,false,false,false,true,com.davidshewitt.admincontrol.ControlYourDeviceActivity$android.preference.Preference$OnPreferenceChangeListener1
true,false,false,false,false,false,true,com.davidshewitt.admincontrol.ControlYourDeviceActivity$DevControlPreferenceFragment
false,false,false,false,false,false,true,com.davidshewitt.admincontrol.ControlYourDeviceActivityTest$org.hamcrest.TypeSafeMatcher1
false,false,false,false,false,false,true,com.greenaddress.abcore.ABCoreService$com.greenaddress.abcore.ProcessLogger$OnError1
false,false,false,false,false,false,true,com.greenaddress.abcore.ConsoleActivity$android.widget.TextView$OnEditorActionListener1
false,false,false,false,false,false,true,com.greenaddress.abcore.ConsoleActivity$RPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.DownloadActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.greenaddress.abcore.DownloadActivity$DownloadInstallCoreResponseReceiver
true,false,false,false,false,false,true,com.greenaddress.abcore.DownloadSettingsActivity$DownloadPreferenceFragment
false,false,false,false,false,false,true,com.greenaddress.abcore.MainActivity$android.widget.CompoundButton$OnCheckedChangeListener1
false,false,false,false,false,false,true,com.greenaddress.abcore.MainActivity$RPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.PeerActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.greenaddress.abcore.PeerActivity$RPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.PowerBroadcastReceiver$RPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.ProgressActivity$java.util.TimerTaskRPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.ProgressActivity$RPCResponseReceiver
false,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$android.preference.Preference$OnPreferenceChangeListenerCorePreferenceFragment
false,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$android.preference.Preference$OnPreferenceChangeListenerCorePreferenceFragment
false,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$android.preference.Preference$OnPreferenceChangeListenerCorePreferenceFragment
true,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$CorePreferenceFragment
false,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$android.preference.Preference$OnPreferenceClickListenerAndroidPreferenceFragment
false,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$android.preference.Preference$OnPreferenceClickListenerAndroidPreferenceFragment
true,false,false,false,false,false,true,com.greenaddress.abcore.SettingsActivity$AndroidPreferenceFragment
true,false,false,false,false,false,true,com.greenaddress.abcore.Utils$ABIsUnsupported
true,false,false,false,false,false,false,com.greenaddress.abcore.Utils$ValidationFailure
false,false,false,false,true,false,false,com.greenaddress.abcore.ProcessLogger$OnError
false,false,false,false,true,false,false,com.greenaddress.abcore.Utils$OnDownloadUpdate
false,false,false,false,false,false,true,com.jvillalba.apod.classic.activities.ImageActivity$java.lang.Runnable1
false,false,false,false,false,false,true,com.jvillalba.apod.classic.activities.ImageActivity$java.lang.Runnable2
false,false,false,false,false,false,true,com.jvillalba.apod.classic.activities.MainActivity$com.jvillalba.apod.classic.adapter.MyAdapter$OnItemClickListener1
false,false,false,false,false,false,true,com.jvillalba.apod.classic.activities.ViewActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,com.jvillalba.apod.classic.adapter.MyAdapter$android.view.View$OnClickListenerViewHolder
false,false,false,false,false,false,true,com.jvillalba.apod.classic.adapter.MyAdapter$ViewHolder
false,false,false,false,false,false,true,com.jvillalba.apod.classic.controller.NasaController$retrofit2.Callback1
false,false,false,false,true,false,false,com.jvillalba.apod.classic.adapter.MyAdapter$OnItemClickListener
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$java.util.TimerTask1
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.app.DatePickerDialog$OnDateSetListener2
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.app.DatePickerDialog$OnDateSetListener2
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.content.DialogInterface$OnClickListener2
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.view.View$OnClickListener3
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.view.View$OnClickListener4
false,false,false,false,false,false,true,com.markuspage.android.atimetracker.Activities$android.content.DialogInterface$OnClickListener5
