is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,full_name
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.BastpUtil$RGLruCache
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FileSystemAdapter$Observer
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PlaybackService$Receiver
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PlaybackActivity$3
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PlaybackActivity$2
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PlaybackActivity$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PlaybackService$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.ShowQueueActivity$2
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.ShowQueueActivity$3
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.ShowQueueActivity$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FullPlaybackActivity$2
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FullPlaybackActivity$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.ReadaheadThread$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FileSystemAdapter$2
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FileSystemAdapter$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$FilePositionLruCache
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.PreferencesActivity$ReplayGainFragment$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.FilebrowserStartActivity$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.LibraryActivity$2
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.LibraryActivity$1
false,false,false,false,false,false,ch.blinkenlights.android.vanilla.LibraryActivity$3
false,false,false,false,false,false,com.amaze.filemanager.utils.share.ShareTask$1
false,false,false,false,false,false,com.amaze.filemanager.adapters.AppsAdapter$2
false,false,false,false,false,false,com.amaze.filemanager.adapters.AppsAdapter$1
false,false,false,false,false,false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$1
false,false,false,false,false,false,com.amaze.filemanager.fragments.TabFragment$1
false,false,false,false,false,false,com.amaze.filemanager.activities.MainActivity$CheckForFiles
false,false,false,false,false,false,com.amaze.filemanager.adapters.RarAdapter$2
false,false,false,false,false,false,com.amaze.filemanager.adapters.RarAdapter$3
