classification_methode,path,validation_methode,F_mesure,precision,rappel
Decision Tree,../../dataset/LIC/taken/LIC_.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/LIC/taken/LIC_.csv,cross Validation,1.0,1.0,1.0
Decision Tree,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,Validation_70/30,1.0,1.0,1.0
Decision Tree,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,cross Validation,0.9995412844036696,0.9990846681922196,1.0
Random Forest,../../dataset/LIC/taken/LIC_.csv,Validation_70/30,0.9968701095461658,0.9937597503900156,1.0
Random Forest,../../dataset/LIC/taken/LIC_.csv,cross Validation,0.9985895836509266,0.997183618702626,1.0
Random Forest,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,Validation_70/30,0.9992509363295881,0.9985029940119761,1.0
Random Forest,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,cross Validation,0.9995412844036696,0.9990846681922196,1.0
Naive Bayes,../../dataset/LIC/taken/LIC_.csv,Validation_70/30,1.0,1.0,1.0
Naive Bayes,../../dataset/LIC/taken/LIC_.csv,cross Validation,1.0,1.0,1.0
Naive Bayes,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,Validation_70/30,1.0,1.0,1.0
Naive Bayes,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,cross Validation,1.0,1.0,1.0
SVM,../../dataset/LIC/taken/LIC_.csv,Validation_70/30,1.0,1.0,1.0
SVM,../../dataset/LIC/taken/LIC_.csv,cross Validation,1.0,1.0,1.0
SVM,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,Validation_70/30,1.0,1.0,1.0
SVM,../../dataset/LIC/taken/LIC_RandomUnderSampler.csv,cross Validation,1.0,1.0,1.0
