is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name,is_code_smell
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.BastpUtil$RGLruCache,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FileSystemAdapter$Observer,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PlaybackService$Receiver,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PlaybackActivity$3,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PlaybackActivity$2,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PlaybackActivity$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PlaybackService$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.ShowQueueActivity$2,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.ShowQueueActivity$3,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.ShowQueueActivity$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FullPlaybackActivity$2,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FullPlaybackActivity$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.ReadaheadThread$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FileSystemAdapter$2,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FileSystemAdapter$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$FilePositionLruCache,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.PreferencesActivity$ReplayGainFragment$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.FilebrowserStartActivity$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.LibraryActivity$2,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.LibraryActivity$1,true
False,False,False,False,False,False,False,ch.blinkenlights.android.vanilla.LibraryActivity$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.share.ShareTask$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.AppsAdapter$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.AppsAdapter$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.utils.SmbStreamer.StreamServer$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.TabFragment$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.activities.MainActivity$CheckForFiles,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.RarAdapter$2,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.RarAdapter$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.adapters.RarAdapter$1,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.Main$9,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.Main$8,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.Main$3,true
False,False,False,False,False,False,False,com.amaze.filemanager.fragments.Main$2,true
