is_static,is_enum,uses_variables,is_code_smell
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
False,False,False,true
