classification_methode,path,validation_methode,F_mesure
Decision Tree,../../dataset/MIM/taken/MIM_.csv,Validation_70/30,
Decision Tree,../../dataset/MIM/taken/MIM_.csv,cross Validation,
Decision Tree,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,Validation_70/30,0.9889447236180905
Decision Tree,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,cross Validation,0.9895151383969978
Decision Tree,../../dataset/MIM/taken/MIM_AllKNN.csv,Validation_70/30,1.0
Decision Tree,../../dataset/MIM/taken/MIM_AllKNN.csv,cross Validation,1.0
Decision Tree,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,Validation_70/30,1.0
Decision Tree,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,cross Validation,1.0
Decision Tree,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,Validation_70/30,
Decision Tree,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,cross Validation,
Decision Tree,../../dataset/MIM/taken/MIM_TomekLinks.csv,Validation_70/30,
Decision Tree,../../dataset/MIM/taken/MIM_TomekLinks.csv,cross Validation,
Random Forest,../../dataset/MIM/taken/MIM_.csv,Validation_70/30,
Random Forest,../../dataset/MIM/taken/MIM_.csv,cross Validation,
Random Forest,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,Validation_70/30,0.942439024390244
Random Forest,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,cross Validation,0.9481762784040498
Random Forest,../../dataset/MIM/taken/MIM_AllKNN.csv,Validation_70/30,
Random Forest,../../dataset/MIM/taken/MIM_AllKNN.csv,cross Validation,
Random Forest,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,Validation_70/30,
Random Forest,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,cross Validation,
Random Forest,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,Validation_70/30,
Random Forest,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,cross Validation,
Random Forest,../../dataset/MIM/taken/MIM_TomekLinks.csv,Validation_70/30,
Random Forest,../../dataset/MIM/taken/MIM_TomekLinks.csv,cross Validation,
Naive Bayes,../../dataset/MIM/taken/MIM_.csv,Validation_70/30,0.5278236914600551
Naive Bayes,../../dataset/MIM/taken/MIM_.csv,cross Validation,0.5366365961567602
Naive Bayes,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,Validation_70/30,0.9893162393162394
Naive Bayes,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,cross Validation,0.9895151383969978
Naive Bayes,../../dataset/MIM/taken/MIM_AllKNN.csv,Validation_70/30,1.0
Naive Bayes,../../dataset/MIM/taken/MIM_AllKNN.csv,cross Validation,1.0
Naive Bayes,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,Validation_70/30,1.0
Naive Bayes,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,cross Validation,1.0
Naive Bayes,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,Validation_70/30,0.5267054468535167
Naive Bayes,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,cross Validation,0.5368774228953999
Naive Bayes,../../dataset/MIM/taken/MIM_TomekLinks.csv,Validation_70/30,0.5382528486163863
Naive Bayes,../../dataset/MIM/taken/MIM_TomekLinks.csv,cross Validation,0.5366365961567602
SVM,../../dataset/MIM/taken/MIM_.csv,Validation_70/30,
SVM,../../dataset/MIM/taken/MIM_.csv,cross Validation,
SVM,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,Validation_70/30,0.9855371900826446
SVM,../../dataset/MIM/taken/MIM_RandomUnderSampler.csv,cross Validation,0.9895151383969978
SVM,../../dataset/MIM/taken/MIM_AllKNN.csv,Validation_70/30,1.0
SVM,../../dataset/MIM/taken/MIM_AllKNN.csv,cross Validation,1.0
SVM,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,Validation_70/30,1.0
SVM,../../dataset/MIM/taken/MIM_InstanceHardnessThreshold.csv,cross Validation,1.0
SVM,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,Validation_70/30,
SVM,../../dataset/MIM/taken/MIM_OneSidedSelection.csv,cross Validation,
SVM,../../dataset/MIM/taken/MIM_TomekLinks.csv,Validation_70/30,
SVM,../../dataset/MIM/taken/MIM_TomekLinks.csv,cross Validation,
